city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Swinton,53.5122,-2.3412,United Kingdom,GB,Salford,,22931,22931
Market Harborough,52.4775,-0.9206,United Kingdom,GB,Leicestershire,,22911,22911
Erdington,52.5236,-1.8378,United Kingdom,GB,Birmingham,,22828,22828
Clifton,52.9040,-1.1770,United Kingdom,GB,Nottingham,,22749,22749
Stratton Saint Margaret,51.5860,-1.7620,United Kingdom,GB,Swindon,,22698,22698
Wednesfield,52.5998,-2.0827,United Kingdom,GB,Wolverhampton,,22646,22646
Farsley,53.8116,-1.6718,United Kingdom,GB,Leeds,,22594,22594
Guiseley,53.8750,-1.7060,United Kingdom,GB,Leeds,,22347,22347
March,52.5510,0.0880,United Kingdom,GB,Cambridgeshire,,22298,22298
Tiverton,50.9030,-3.4880,United Kingdom,GB,Devon,,22291,22291
Litherland,53.4727,-2.9990,United Kingdom,GB,Sefton,,22242,22242
Acomb,53.9550,-1.1260,United Kingdom,GB,York,,22215,22215
Newton in Makerfield,53.4500,-2.6330,United Kingdom,GB,St. Helens,,22114,22114
Penarth,51.4300,-3.1700,United Kingdom,GB,"Vale of Glamorgan, The",,22083,22083
Camborne,50.2130,-5.3000,United Kingdom,GB,Cornwall,,22074,22074
Newquay,50.4120,-5.0757,United Kingdom,GB,Cornwall,,22074,22074
Northwood,51.6010,-0.4176,United Kingdom,GB,Hillingdon,,22047,22047
Atherton,53.5230,-2.4950,United Kingdom,GB,Wigan,,22000,22000
Belper,53.0290,-1.4750,United Kingdom,GB,Derbyshire,,21822,21822
Sheldon,52.4500,-1.7666,United Kingdom,GB,Solihull,,21817,21817
Yate,51.5402,-2.4110,United Kingdom,GB,South Gloucestershire,,21789,21789
Bailleston,55.8474,-4.1147,United Kingdom,GB,Glasgow City,,21663,21663
Truro,50.2600,-5.0510,United Kingdom,GB,Cornwall,,21555,21555
Chandlers Ford,50.9840,-1.3792,United Kingdom,GB,Hampshire,,21436,21436
Royton,53.5660,-2.1210,United Kingdom,GB,Oldham,,21284,21284
Clevedon,51.4380,-2.8540,United Kingdom,GB,North Somerset,,21281,21281
Dronfield,53.3024,-1.4664,United Kingdom,GB,Derbyshire,,21261,21261
Ossett,53.6800,-1.5800,United Kingdom,GB,Wakefield,,21231,21231
Woodlesford,53.7567,-1.4530,United Kingdom,GB,Leeds,,21010,21010
Wallington,51.3647,-0.1403,United Kingdom,GB,Sutton,,20850,20850
Norton,54.5890,-1.3157,United Kingdom,GB,Stockton-on-Tees,,20829,20829
Leek,53.1080,-2.0234,United Kingdom,GB,Staffordshire,,20768,20768
Leigh-on-Sea,51.5425,0.6535,United Kingdom,GB,Southend-on-Sea,,20737,20737
Boscombe,50.7250,-1.8400,United Kingdom,GB,,,20719,20719
Failsworth,53.5102,-2.1575,United Kingdom,GB,Oldham,,20680,20680
Kirkstall,53.8160,-1.6020,United Kingdom,GB,Leeds,,20673,20673
Maesteg,51.6100,-3.6500,United Kingdom,GB,Bridgend,,20612,20612
Shoreham-by-Sea,50.8340,-0.2730,United Kingdom,GB,West Sussex,,20547,20547
Hythe,50.8690,-1.3990,United Kingdom,GB,Hampshire,,20526,20526
Maghull,53.5174,-2.9449,United Kingdom,GB,Sefton,,20444,20444
Rothwell,53.7485,-1.4780,United Kingdom,GB,Leeds,,20354,20354
Seaham,54.8400,-1.3400,United Kingdom,GB,Durham,,20172,20172
Peterlee,54.7600,-1.3300,United Kingdom,GB,Durham,,20164,20164
Killingworth,55.0318,-1.5557,United Kingdom,GB,North Tyneside,,20079,20079
Horwich,53.5920,-2.5400,United Kingdom,GB,Bolton,,20067,20067
Bispham,53.8520,-3.0410,United Kingdom,GB,Blackpool,,20001,20001
Biddulph,53.1200,-2.1700,United Kingdom,GB,Staffordshire,,19892,19892
Stoke Gifford,51.5170,-2.5480,United Kingdom,GB,South Gloucestershire,,19794,19794
Selby,53.7818,-1.0703,United Kingdom,GB,North Yorkshire,,19760,19760
