city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Lemington,54.9720,-1.7230,United Kingdom,GB,Newcastle upon Tyne,,10228,10228
New Silksworth,54.8710,-1.3957,United Kingdom,GB,Sunderland,,10194,10194
Forres,57.6080,-3.6200,United Kingdom,GB,Moray,,10100,10100
Lydney,51.7286,-2.5285,United Kingdom,GB,Gloucestershire,,10043,10043
Marton,54.5372,-1.2047,United Kingdom,GB,Middlesbrough,,9990,9990
Bishopstoke,50.9679,-1.3278,United Kingdom,GB,Hampshire,,9974,9974
Aberaman,51.7000,-3.4333,United Kingdom,GB,Rhondda Cynon Taff,,9964,9964
Birchington,51.3770,1.3050,United Kingdom,GB,Kent,,9961,9961
Nairn,57.5860,-3.8690,United Kingdom,GB,Highland,,9960,9960
Handsworth,53.3700,-1.4000,United Kingdom,GB,Sheffield,,9957,9957
Liskeard,50.4536,-4.4651,United Kingdom,GB,Cornwall,,9912,9912
Stocksbridge,53.4780,-1.5880,United Kingdom,GB,Sheffield,,9869,9869
Kippax,53.7669,-1.3705,United Kingdom,GB,Leeds,,9785,9785
Tottington,53.6130,-2.3390,United Kingdom,GB,Bury,,9783,9783
Whitchurch,52.9690,-2.6820,United Kingdom,GB,Shropshire,,9781,9781
Helston,50.1000,-5.2700,United Kingdom,GB,Cornwall,,9780,9780
Raynes Park,51.4033,-0.2321,United Kingdom,GB,Merton,,9738,9738
Lambeth,51.4900,-0.1190,United Kingdom,GB,Lambeth,,9675,9675
Killamarsh,53.3205,-1.3116,United Kingdom,GB,Derbyshire,,9445,9445
Thames Ditton,51.3890,-0.3310,United Kingdom,GB,Surrey,,9400,9400
Horsell,51.3286,-0.5617,United Kingdom,GB,Surrey,,9384,9384
Broadwater,50.8282,-0.3742,United Kingdom,GB,West Sussex,,9373,9373
Wilnecote,52.6081,-1.6677,United Kingdom,GB,Staffordshire,,9358,9358
Tilehurst,51.4579,-1.0406,United Kingdom,GB,Reading,,9185,9185
Aberbargoed,51.6968,-3.2240,United Kingdom,GB,Caerphilly,,9184,9184
Littleport,52.4568,0.3046,United Kingdom,GB,Cambridgeshire,,9168,9168
Dunbar,56.0027,-2.5169,United Kingdom,GB,East Lothian,,9030,9030
Barwell,52.5682,-1.3462,United Kingdom,GB,Leicestershire,,9022,9022
Cupar,56.3200,-3.0100,United Kingdom,GB,Fife,,9020,9020
Broughton Astley,52.5278,-1.2275,United Kingdom,GB,Leicestershire,,8940,8940
Partick,55.8699,-4.3125,United Kingdom,GB,Glasgow City,,8884,8884
Ifield,51.1234,-0.2073,United Kingdom,GB,West Sussex,,8882,8882
Cowley,51.5280,-0.4810,United Kingdom,GB,Hillingdon,,8776,8776
Clayton le Moors,53.7750,-2.3840,United Kingdom,GB,Lancashire,,8522,8522
Cam,51.7011,-2.3642,United Kingdom,GB,Gloucestershire,,8520,8520
Blackwood,51.6700,-3.1900,United Kingdom,GB,Caerphilly,,8496,8496
Great Billing,52.2577,-0.8222,United Kingdom,GB,Northamptonshire,,8457,8457
Seaton,50.7050,-3.0780,United Kingdom,GB,Devon,,8413,8413
Birtley,54.9000,-1.5770,United Kingdom,GB,Gateshead,,8367,8367
Glascote,52.6245,-1.6680,United Kingdom,GB,Staffordshire,,8344,8344
Mountsorrel,52.7167,-1.1500,United Kingdom,GB,Leicestershire,,8223,8223
Brierfield,53.8240,-2.2350,United Kingdom,GB,Lancashire,,8193,8193
Heybridge,51.7417,0.6897,United Kingdom,GB,Essex,,8175,8175
New Bilton,52.3728,-1.2764,United Kingdom,GB,Warwickshire,,8166,8166
Exhall,52.4700,-1.4800,United Kingdom,GB,Coventry,,8006,8006
Newbold,53.2519,-1.4461,United Kingdom,GB,Derbyshire,,7962,7962
Cross Gates,53.8063,-1.4506,United Kingdom,GB,Leeds,,7770,7770
Stony Stratford,52.0567,-0.8526,United Kingdom,GB,Milton Keynes,,7736,7736
Rothwell,52.4254,-0.8029,United Kingdom,GB,Northamptonshire,,7694,7694
Rhôs-on-Sea,53.3090,-3.7380,United Kingdom,GB,Conwy,,7593,7593
Stonehouse,51.7478,-2.2838,United Kingdom,GB,Gloucestershire,,7591,7591
Sundon,51.9200,-0.4700,United Kingdom,GB,Luton,,7585,7585
Codsall,52.6267,-2.1924,United Kingdom,GB,Staffordshire,,7582,7582
Attleborough,52.5156,-1.4575,United Kingdom,GB,Warwickshire,,7564,7564
Hucknall under Huthwaite,53.1250,-1.3010,United Kingdom,GB,Nottinghamshire,,7500,7500
Pyle,51.5289,-3.6933,United Kingdom,GB,Bridgend,,7405,7405
Harefield,51.6034,-0.4780,United Kingdom,GB,Hillingdon,,7399,7399
Wickersley,53.4199,-1.2792,United Kingdom,GB,Rotherham,,7392,7392
Greenhill,51.3600,1.1030,United Kingdom,GB,Kent,,7339,7339
Roby,53.4130,-2.8520,United Kingdom,GB,Knowsley,,7254,7254
Lee-on-the-Solent,50.8031,-1.2011,United Kingdom,GB,Hampshire,,7224,7224
Kirkham,53.7820,-2.8700,United Kingdom,GB,Lancashire,,7194,7194
Frampton Cotterell,51.5400,-2.4800,United Kingdom,GB,South Gloucestershire,,7162,7162
Faringdon,51.6570,-1.5860,United Kingdom,GB,Oxfordshire,,7121,7121
Allington,51.2903,0.5019,United Kingdom,GB,Kent,,7100,7100
Saint Peters,51.3651,1.4191,United Kingdom,GB,Kent,,7042,7042
Shifnal,52.6650,-2.3730,United Kingdom,GB,Shropshire,,7009,7009
Crewkerne,50.8803,-2.7939,United Kingdom,GB,Somerset,,7000,7000
Westgate on Sea,51.3814,1.3381,United Kingdom,GB,Kent,,6996,6996
Warrenpoint,54.0991,-6.2490,United Kingdom,GB,"Newry, Mourne and Down",,6981,6981
Dowlais,51.7620,-3.3530,United Kingdom,GB,Merthyr Tydfil,,6926,6926
Duntocher,55.9240,-4.4170,United Kingdom,GB,West Dunbartonshire,,6880,6880
Thornhill,53.6622,-1.6124,United Kingdom,GB,Kirklees,,6875,6875
Gedling,52.9750,-1.0810,United Kingdom,GB,Nottinghamshire,,6817,6817
Bolton upon Dearne,53.5197,-1.3148,United Kingdom,GB,Barnsley,,6744,6744
Godmanchester,52.3176,-0.1725,United Kingdom,GB,Cambridgeshire,,6711,6711
Aintree,53.4793,-2.9373,United Kingdom,GB,Liverpool,,6689,6689
Pakefield,52.4510,1.7280,United Kingdom,GB,Suffolk,,6563,6563
Whetstone,52.5724,-1.1799,United Kingdom,GB,Leicestershire,,6556,6556
Cove,51.2965,-0.7939,United Kingdom,GB,Hampshire,,6548,6548
Bilton,52.3594,-1.2900,United Kingdom,GB,Warwickshire,,6544,6544
Bothwell,55.8023,-4.0662,United Kingdom,GB,South Lanarkshire,,6380,6380
Uddingston,55.8183,-4.0827,United Kingdom,GB,South Lanarkshire,,6370,6370
Long Ditton,51.3850,-0.3210,United Kingdom,GB,Surrey,,6343,6343
Alcester,52.2150,-1.8697,United Kingdom,GB,Warwickshire,,6273,6273
Handforth,53.3500,-2.2160,United Kingdom,GB,Cheshire East,,6266,6266
Shephall,51.8904,-0.1765,United Kingdom,GB,Hertfordshire,,6210,6210
Dyce,57.2031,-2.1920,United Kingdom,GB,Aberdeen City,,6190,6190
Hollington,50.8750,0.5480,United Kingdom,GB,East Sussex,,6099,6099
Llantwit Fardre,51.5578,-3.3341,United Kingdom,GB,Rhondda Cynon Taff,,6099,6099
Long Ashton,51.4300,-2.6500,United Kingdom,GB,North Somerset,,6044,6044
Highbridge,51.2189,-2.9730,United Kingdom,GB,Somerset,,5986,5986
Withernsea,53.7285,0.0382,United Kingdom,GB,East Riding of Yorkshire,,5980,5980
Porth,51.6138,-3.4095,United Kingdom,GB,Rhondda Cynon Taff,,5970,5970
Great Burstead,51.6040,0.4450,United Kingdom,GB,Essex,,5968,5968
Saltburn-by-the-Sea,54.5828,-0.9732,United Kingdom,GB,Redcar and Cleveland,,5958,5958
Honley,53.6027,-1.7921,United Kingdom,GB,Kirklees,,5897,5897
Govan,55.8615,-4.3083,United Kingdom,GB,Glasgow City,,5860,5860
Cheddar,51.2790,-2.7780,United Kingdom,GB,Somerset,,5755,5755
Broughton,53.5638,-0.5465,United Kingdom,GB,North Lincolnshire,,5726,5726
Littlemore,51.7200,-1.2270,United Kingdom,GB,Oxfordshire,,5646,5646
Kirk Ella,53.7518,-0.4566,United Kingdom,GB,East Riding of Yorkshire,,5638,5638
Wadsley,53.4100,-1.5200,United Kingdom,GB,Sheffield,,5631,5631
Leavesden Green,51.6967,-0.3991,United Kingdom,GB,Hertfordshire,,5612,5612
Lexden,51.8833,0.8667,United Kingdom,GB,Essex,,5549,5549
Utley,53.8800,-1.9100,United Kingdom,GB,Bradford,,5500,5500
Bridge of Allan,56.1550,-3.9420,United Kingdom,GB,Stirling,,5380,5380
Bishopton,55.9086,-4.5045,United Kingdom,GB,Renfrewshire,,5330,5330
Paulton,51.3069,-2.5027,United Kingdom,GB,Bath and North East Somerset,,5303,5303
Wincanton,51.0559,-2.4102,United Kingdom,GB,Somerset,,5272,5272
Church,53.7550,-2.3860,United Kingdom,GB,Lancashire,,5186,5186
Great Meols,53.4014,-3.1553,United Kingdom,GB,Wirral,,5110,5110
Harleston,52.4024,1.2996,United Kingdom,GB,Norfolk,,5067,5067
Harlescott,52.7365,-2.7226,United Kingdom,GB,Shropshire,,5060,5060
Ottery Saint Mary,50.7520,-3.2790,United Kingdom,GB,Devon,,4898,4898
Loughor,51.6626,-4.0646,United Kingdom,GB,Swansea,,4824,4824
North Woolwich,51.5010,0.0580,United Kingdom,GB,Newham,,4752,4752
Huntington,52.7150,-2.0420,United Kingdom,GB,Staffordshire,,4715,4715
Coedpoeth,53.0540,-3.0740,United Kingdom,GB,Wrexham,,4702,4702
Somerton,51.0535,-2.7361,United Kingdom,GB,Somerset,,4697,4697
Eton,51.4881,-0.6092,United Kingdom,GB,Wandsworth,,4692,4692
Old Kilpatrick,55.9250,-4.4593,United Kingdom,GB,West Dunbartonshire,,4680,4680
Kirby Muxloe,52.6351,-1.2341,United Kingdom,GB,Leicestershire,,4667,4667
Histon,52.2535,0.1042,United Kingdom,GB,Cambridgeshire,,4655,4655
Tillicoultry,56.1530,-3.7420,United Kingdom,GB,Clackmannanshire,,4650,4650
Nelson,51.6510,-3.2830,United Kingdom,GB,Caerphilly,,4647,4647
Alva,56.1530,-3.7996,United Kingdom,GB,Clackmannanshire,,4600,4600
Ingatestone,51.6700,0.3800,United Kingdom,GB,Essex,,4504,4504
Lees,53.5380,-2.0690,United Kingdom,GB,Oldham,,4500,4500
Kingsthorpe,52.2625,-0.9000,United Kingdom,GB,Northamptonshire,,4477,4477
Cowpen,55.1270,-1.5390,United Kingdom,GB,Northumberland,,4466,4466
Wilford,52.9260,-1.1600,United Kingdom,GB,Nottinghamshire,,4428,4428
Seaton Delaval,55.0729,-1.5252,United Kingdom,GB,Northumberland,,4371,4371
Ferndale,51.6610,-3.4480,United Kingdom,GB,Rhondda Cynon Taff,,4178,4178
Grenoside,53.4410,-1.5020,United Kingdom,GB,Sheffield,,4177,4177
Beddau,51.5560,-3.3577,United Kingdom,GB,Rhondda Cynon Taff,,4156,4156
Banff,57.6670,-2.5240,United Kingdom,GB,Aberdeenshire,,4100,4100
Bare,54.0760,-2.8370,United Kingdom,GB,Lancashire,,4067,4067
Chasetown,52.6700,-1.9200,United Kingdom,GB,Staffordshire,,3885,3885
Deanshanger,52.0473,-0.8928,United Kingdom,GB,Northamptonshire,,3817,3817
Tayport,56.4467,-2.8796,United Kingdom,GB,Fife,,3810,3810
Anstruther,56.2234,-2.7027,United Kingdom,GB,Fife,,3810,3810
Walton le Dale,53.7460,-2.6650,United Kingdom,GB,Lancashire,,3792,3792
Watchet,51.1795,-3.3242,United Kingdom,GB,Somerset,,3785,3785
Highcliffe,50.7414,-1.6959,United Kingdom,GB,Dorset,,3673,3673
Kilburn,53.0056,-1.4254,United Kingdom,GB,Derbyshire,,3618,3618
Llanharan,51.5300,-3.4300,United Kingdom,GB,Rhondda Cynon Taff,,3465,3465
Llanbadarn-fawr,52.4080,-4.0600,United Kingdom,GB,Ceredigion,,3380,3380
Menai Bridge,53.2300,-4.1600,United Kingdom,GB,Gwynedd,,3376,3376
Sherborne Saint John,51.2944,-1.1098,United Kingdom,GB,Hampshire,,3265,3265
Clackmannan,56.1070,-3.7490,United Kingdom,GB,Clackmannanshire,,3240,3240
Swalwell,54.9540,-1.6840,United Kingdom,GB,Gateshead,,3200,3200
Stainton,54.5211,-1.2595,United Kingdom,GB,Middlesbrough,,2890,2890
Harton,54.8810,-1.5340,United Kingdom,GB,South Tyneside,,2878,2878
Kinghorn,56.0700,-3.1700,United Kingdom,GB,Fife,,2840,2840
Appledore,51.0525,-4.1945,United Kingdom,GB,Devon,,2814,2814
New Earswick,53.9920,-1.0724,United Kingdom,GB,York,,2737,2737
Bushbury,52.6200,-2.1130,United Kingdom,GB,Wolverhampton,,2600,2600
